Species,Polygyny,Coloniality,Diet,Habitat
Amblyospiza_albifrons,1,1,0.5,0
Anaplectes_rubriceps,1,1,1,0
Brachycope_anomala,0,0,0,0
Bubalornis_albirostris,1,1,0.5,0
Bubalornis_niger,1,1,1,0
Dinemellia_dinemelli,0,0.5,1,0
Euplectes_afer,1,1,0,0
Euplectes_albonotatus,1,0,0,0
Euplectes_ardens,1,0,0,0
Euplectes_aureus,1,0,0,0
Euplectes_axillaris,1,0,0,0
Euplectes_capensis,1,0,0,0
Euplectes_diadematus,1,1,0,0
Euplectes_franciscanus,1,1,0,0
Euplectes_gierowii,1,0,0,0
Euplectes_hartlaubi,1,0.5,0,0
Euplectes_hordeaceus,1,0,0,0
Euplectes_jacksoni,1,0,0,0
Euplectes_macroura,1,0,0,0
Euplectes_nigroventris,1,0,0,0
Euplectes_orix,1,1,0,0
Euplectes_progne,1,0,0,0
Euplectes_psammacromius,1,0.5,0,0
Foudia_aldabrana,0,0,1,0
Foudia_eminentissima,0,0,1,1
Foudia_flavicans,0,0,1,1
Foudia_madagascariensis,0,0,0,0
Foudia_omissa,0,0,0.5,1
Foudia_rubra,0,0,1,1
Foudia_sechellarum,0,0,1,1
Malimbus_cassini,0,0,1,1
Malimbus_coronatus,0,0,1,1
Malimbus_erythrogaster,0,1,1,1
Malimbus_ibadanensis,0,0,1,1
Malimbus_malimbicus,0,0,1,1
Malimbus_nitens,0,0.5,1,1
Malimbus_racheliae,0,0,1,1
Malimbus_rubricollis,0,0,1,1
Malimbus_scutatus,0,0,1,1
Pachyphantes_superciliosus,0,0,0,0
Philetairus_socius,0,1,0,0
Plocepasser_mahali,0,1,0.5,0
Ploceus_albinucha,1,1,1,1
Ploceus_alienus,0,0,1,1
Ploceus_angolensis,0,0,1,1
Ploceus_aurantius,1,1,0,0
Ploceus_badius,0,1,0,0
Ploceus_baglafecht,0,0,1,0
Ploceus_bannermani,0,0,0.5,0
Ploceus_batesi,0.5,0.5,1,1
Ploceus_benghalensis,1,1,0,0
Ploceus_bertrandi,0,0,1,0
Ploceus_bicolor,0,0,1,1
Ploceus_bojeri,1,1,0,0
Ploceus_burnieri,1,1,0,0
Ploceus_capensis,1,1,0.5,0
Ploceus_castaneiceps,1,1,0,0
Ploceus_castanops,0,1,0,0
Ploceus_cucullatus,1,1,0,0
Ploceus_dichrocephalus,1,1,0,0
Ploceus_dorsomaculatus,0,0,1,1
Ploceus_flavipes,0.5,0.5,1,1
Ploceus_galbula,1,1,0,0
Ploceus_golandi,0.5,1,1,0.5
Ploceus_grandis,0,0,0,1
Ploceus_heuglini,1,1,1,0
Ploceus_hypoxanthus,0.5,1,0,0
Ploceus_insignis,0,0,1,1
Ploceus_intermedius,1,1,1,0
Ploceus_jacksoni,1,1,0,0
Ploceus_katangae,1,1,0.5,0
Ploceus_luteolus,0,0,1,0
Ploceus_manyar,0.5,1,0,0
Ploceus_megarhynchus,1,1,0,0
Ploceus_melanocephalus,1,1,0.5,0
Ploceus_melanogaster,0,0,1,1
Ploceus_nelicourvi,0,0,1,1
Ploceus_nicolli,0,0,1,1
Ploceus_nigerrimus,1,1,1,0
Ploceus_nigricollis,0,1,1,0
Ploceus_ocularis,0,0,1,0
Ploceus_olivaceiceps,0,0,1,1
Ploceus_pelzelni,0,1,1,0
Ploceus_philippinus,1,1,0,0
Ploceus_preussi,0,0,1,1
Ploceus_reichardi,1,1,0,0
Ploceus_rubiginosus,0.5,1,0,0
Ploceus_ruweti,1,1,0,0
Ploceus_sakalava,0,1,0,0
Ploceus_sanctithomae,0,1,0.5,1
Ploceus_spekei,1,1,0,0
Ploceus_spekeoides,0.5,1,0,0
Ploceus_subaureus,1,1,0,0
Ploceus_subpersonatus,0.5,0.5,1,0
Ploceus_taeniopterus,1,1,0,0
Ploceus_temporalis,1,1,1,0
Ploceus_tricolor,0,1,1,1
Ploceus_velatus,1,1,0,0
Ploceus_vitellinus,1,1,0,0
Ploceus_weynsi,0.5,1,0,0
Ploceus_xanthops,0,1,0.5,0
Ploceus_xanthopterus,1,1,0,0
Pseudonigrita_arnaudi,0,1,0,0
Quelea_cardinalis,1,1,0,0
Quelea_erythrops,1,1,0,0
Quelea_quelea,0,1,0,0
Sporopipes_frontalis,0,1,0,0
Sporopipes_squamifrons,0,0,0,0
Histurgops_ruficauda,0,1,0.5,0
Malimbus_ballmanni,1,0,1,1
Plocepasser_donaldsoni,0,1,0.5,0
Plocepasser_rufoscapulatus,0.5,1,0,0.5
Plocepasser_superciliosus,0,1,0,0
Ploceus_aureonucha,1,0,1,1
Ploceus_nigrimentus,0,1,0.5,0
Ploceus_princeps,0.5,0,1,0.5
Pseudonigrita_cabanisi,0,1,0,0
